ID_Inventario,ID_Parcela,ID_Arbol,especie,factor_expansion,dbh_1,dbh_2,dbh,altura_total,area_basimetrica,esbeltez,estado
0,2642108,34,26,14.1471060526,33.3,32.2,32.8,11.7,0.0844962760109511,0.356707317073171,3
0,2642108,35,26,14.1471060526,26.9,26.7,26.8,10.9,0.0564104376878583,0.406716417910448,4
0,2642108,36,26,14.1471060526,24,23,23.5,10.3,0.0433736135736241,0.438297872340426,4
0,2642108,37,26,14.1471060526,25.8,26.9,26.4,10.6,0.0547391103961486,0.401515151515152,4
0,2642306,1,26,31.8309886184,13.8,13.4,13.6,7.7,0.0145267244301992,0.566176470588235,5
0,2642306,2,26,31.8309886184,13.3,13.3,13.3,8.9,0.0138929081123375,0.669172932330827,4
0,2642306,3,26,31.8309886184,13.6,13.8,13.7,9,0.0147411381288067,0.656934306569343,4
0,2642306,4,26,31.8309886184,16.9,17,17,9.7,0.0226980069221863,0.570588235294118,4
0,2642306,5,26,31.8309886184,16.5,16.4,16.5,9.3,0.0213824649984955,0.563636363636364,4
0,2642306,6,26,127.3239544735,11.8,11.6,11.7,8.1,0.0107513154587477,0.692307692307692,5
0,2642306,7,26,31.8309886184,14.7,14.9,14.8,9.4,0.0172033613710577,0.635135135135135,4
0,2642306,8,26,31.8309886184,17.7,16.9,17.3,9.6,0.0235061816323222,0.554913294797688,4
0,2642306,9,26,31.8309886184,18,18.1,18.1,8.8,0.0257304292310638,0.486187845303867,4
0,2642306,10,26,31.8309886184,12.2,13,12.6,8.3,0.0124689812420979,0.658730158730159,4
0,2642306,11,26,127.3239544735,11,10.9,11,7.7,0.00950331777710912,0.7,5
0,2642306,12,26,31.8309886184,18.8,19.5,19.2,10,0.0289529178954835,0.520833333333333,3
0,2642306,13,26,31.8309886184,17.5,17.1,17.3,9.8,0.0235061816323222,0.566473988439306,3
0,2642306,14,26,31.8309886184,14,14.6,14.3,9.2,0.0160606070433144,0.643356643356643,4
0,2642306,15,26,31.8309886184,19.1,19.3,19.2,10.5,0.0289529178954835,0.546875,3
0,2642306,16,26,31.8309886184,15.2,14.8,15,9.5,0.0176714586764426,0.633333333333333,4
0,2642306,17,26,31.8309886184,17.1,16.7,16.9,9,0.0224317569447945,0.532544378698225,4
0,2642306,18,26,31.8309886184,15,14.9,15,8.8,0.0176714586764426,0.586666666666667,4
0,2642306,19,26,31.8309886184,12.9,14,13.5,6,0.0143138815279185,0.444444444444444,6
0,2642306,20,26,31.8309886184,13.6,14,13.8,9.2,0.014957122623741,0.666666666666667,4
0,2642306,21,26,31.8309886184,14.1,14.6,14.4,9.7,0.0162860163162095,0.673611111111111,4
0,2642306,22,26,31.8309886184,15.4,14.5,15,8.7,0.0176714586764426,0.58,4
0,2642306,23,26,31.8309886184,14.4,14.4,14.4,9.9,0.0162860163162095,0.6875,4
0,2642306,24,26,31.8309886184,13.1,13,13.1,9.7,0.0134782178820636,0.740458015267176,4
0,2642306,25,26,31.8309886184,18.9,20,19.5,9.9,0.029864765163188,0.507692307692308,4
0,2642306,26,26,31.8309886184,17.5,17,17.3,9,0.0235061816323222,0.520231213872832,4
0,2642306,27,26,31.8309886184,12.9,12.9,12.9,7.8,0.0130698108370969,0.604651162790698,5
0,2642306,28,26,31.8309886184,14.9,14.8,14.9,7.9,0.0174366246255867,0.530201342281879,5
0,2642306,29,26,31.8309886184,18.2,18.6,18.4,9,0.026590440219984,0.489130434782609,4
0,2642306,30,26,31.8309886184,16,15.6,15.8,8.3,0.0196066797510539,0.525316455696203,4
0,2642306,31,26,31.8309886184,13,12.8,12.9,7.6,0.0130698108370969,0.589147286821705,4
0,2642306,32,26,31.8309886184,14.6,14,14.3,8.2,0.0160606070433144,0.573426573426573,4
0,2642306,33,26,31.8309886184,14.3,14.3,14.3,8.3,0.0160606070433144,0.58041958041958,4
0,2642306,34,26,31.8309886184,12.9,12.7,12.8,8,0.0128679635091038,625,4
0,2642306,35,26,31.8309886184,16.8,16.2,16.5,9.5,0.0213824649984955,0.575757575757576,3
0,2642306,36,26,31.8309886184,16.8,16,16.4,9.6,0.0211240690027378,0.585365853658537,4
0,2642306,37,26,31.8309886184,20.7,21,20.9,10.8,0.0343069771753639,0.516746411483254,3
0,2642306,38,26,31.8309886184,18.8,18.4,18.6,9.1,0.0271716348608981,0.489247311827957,4
0,2642306,39,26,31.8309886184,12.7,12.5,12.6,8.9,0.0124689812420979,0.706349206349206,4
